"ID";"Teil_Name";"Kunde_id";"Sachnummer";"Erstelldatum";"Projekt_id"
57;"Achsadapter";73;110;4.2.2021 00:00:00;49
59;"Displayschutz";57;111;11.2.2021 00:00:00;24
61;"Schild";59;112;19.2.2021 00:00:00;25
63;"Gleitplatte-FS";59;114;1.3.2021 00:00:00;25
66;"Tischplatte Bl1";36;115;2.3.2021 00:00:00;27
67;"Frontabdeckung";36;116;2.3.2021 00:00:00;27
68;"Schublade oben";36;117;2.3.2021 00:00:00;27
69;"Abdeckung";36;118;2.3.2021 00:00:00;27
70;"SLAP";36;119;2.3.2021 00:00:00;27
71;"Schublade Mitte";36;120;3.3.2021 00:00:00;27
72;"Blendschutz";36;123;3.3.2021 00:00:00;27
75;"Abdeckung 084 Touch";36;125;5.3.2021 00:00:00;28
76;"Riemenschutz";58;126;5.3.2021 00:00:00;26
78;"Tür";36;128;5.3.2021 00:00:00;28
80;"Verkleidung";36;130;5.3.2021 00:00:00;28
81;"Grundplatte 1";36;131;8.3.2021 00:00:00;27
82;"Grundplatte 2";36;132;8.3.2021 00:00:00;27
93;"HPSF";59;143;23.3.2021 00:00:00;25
94;"Auflageplatte";57;144;20.5.2021 00:00:00;24
95;"Klemmring";57;145;20.5.2021 00:00:00;24
96;"Anleger (prt003)";57;146;20.5.2021 00:00:00;24
102;"Streuscheibe 90x200";67;150;21.7.2021 00:00:00;33
103;"Diffuser-SS 90x200";67;151;21.7.2021 00:00:00;33
105;"Haltewinkel";36;152;4.8.2021 00:00:00;34
106;"Winkelklemme";36;153;4.8.2021 00:00:00;34
107;"HB-Controller";36;154;4.8.2021 00:00:00;34
109;"Halteblech";63;156;9.8.2021 00:00:00;35
111;"NIEDERHALTER-NETZWERKSTECKER";69;158;11.8.2021 00:00:00;36
113;"Abdeckung Display";36;159;15.9.2021 00:00:00;38
114;"Tastaturablage";36;160;16.9.2021 00:00:00;38
115;"LED Winkel 50 lang";36;161;11.11.2021 00:00:00;36
116;"Stufenblech";68;162;16.11.2021 00:00:00;35
117;"Montagewinkel";68;163;16.11.2021 00:00:00;35
122;"HP VCXG15";71;165;14.1.2022 00:00:00;39
124;"Haltering LED 3 Loch";71;167;17.5.2022 00:00:00;40
126;"GP-FL-75x80";36;168;5.7.2022 00:00:00;41
127;"Streuscheibe-SM80x75";36;169;5.7.2022 00:00:00;41
128;"DIFFUSER-SS80X75";36;170;5.7.2022 00:00:00;41
131;"Frontür AFP";76;172;13.10.2022 00:00:00;42
132;"GP-270TIEF";76;173;13.10.2022 00:00:00;42
133;"Tastaturablage";76;174;13.10.2022 00:00:00;42
134;"Hakenschlosssperre";76;175;13.10.2022 00:00:00;42
135;"HW-Blendscheibe";76;176;14.10.2022 00:00:00;42
136;"HB-IGR";76;177;14.10.2022 00:00:00;42
137;"HW-Kamera";76;178;14.10.2022 00:00:00;42
138;"NB-Kamera";76;179;14.10.2022 00:00:00;42
139;"HW-Sensor";76;180;14.10.2022 00:00:00;42
140;"HB-DK_K";76;181;14.10.2022 00:00:00;42
141;"AC-IC_820_HP";76;182;14.10.2022 00:00:00;42
142;"HB-UVL";76;183;14.10.2022 00:00:00;42
143;"Rollenblech";76;184;14.10.2022 00:00:00;42
144;"MP-DK_UVL";76;185;14.10.2022 00:00:00;42
145;"GP Leuchte Bbi";77;186;3.11.2022 00:00:00;36
147;"MG-GRZ-PLL22-5-ST28";78;187;4.11.2022 00:00:00;35
150;"Ausleger-LED-";79;188;29.3.2023 00:00:00;43
151;"HB2-NM";79;189;29.3.2023 00:00:00;44
152;"AC-IC-820-HP-Hi";76;190;29.3.2023 00:00:00;44
153;"HB-DK-K-HINTEN";76;191;29.3.2023 00:00:00;44
154;"HB-SA-AFP";76;192;29.3.2023 00:00:00;44
155;"HB-UVL-HINTEN";76;193;29.3.2023 00:00:00;44
156;"HAH-AFP";76;194;29.3.2023 00:00:00;44
157;"HW-IGR-HINTEN";76;195;29.3.2023 00:00:00;44
158;"HW-Kamera-Hinten";76;196;29.3.2023 00:00:00;44
159;"KW-VE-AFP";76;197;29.3.2023 00:00:00;44
160;"RB-hinten-AFP";76;198;29.3.2023 00:00:00;44
